Zeitstempel,Ort der Geschwindigkeitsmessung,Erlaubte Geschwindigkeit (km/h),Gemessene Geschwindigkeit (km/h),Geschwindigkeitsüberschreitung (km/h),Kennzeichen,Fahrzeugmarke,Fahrzeugmodell,Fahrzeugtyp,Name des Fahrzeughalters,Geburtsdatum des Fahrzeughalters,Geschlecht des Fahrzeughalters,Adresse des Fahrzeughalters,Fahrer: Name,Fahrer: Geburtsdatum,Fahrer: Geschlecht,Wetterbedingungen,Sichtverhältnisse,Verkehrsdichte,Bußgeldbetrag (EUR),Punkte in Flensburg,Fahrverbot (Monate),Einspruch eingelegt,Status des Verfahrens,Zahlungsstatus
03.12.2025 21:44:54,B1 Ortsdurchfahrt Paderborn,80,118,38,HB-Y 1196,Ford,Fiesta,Kleinwagen,Thomas Fischer,23.11.1980,Männlich,"Bahnhofstraße 34, 30159 Hannover",Unklar,Unklar,Unklar,Schnee,Schlecht,Niedrig,120,1,,Nein,Abgeschlossen,Ausstehend
28.04.2025 13:31:30,"A95 km 23, Richtung Garmisch",120,145,25,M-J 9652,Kia,Rio,Kleinwagen,Yasemin Koch,21.04.1987,Weiblich,"Karl-Marx-Straße 96, 10115 Berlin",Unklar,Unklar,Unklar,Leichter Regen,Mittel,Hoch,85,1,,Ja,Einspruch läuft,Ausstehend
28.03.2025 12:49:41,"A7 km 89, Richtung Hannover",130,206,76,K-HQ 6825,Fiat,Tipo,SUV,Stefan Rodriguez,23.06.1946,Männlich,"Poststraße 184, 90402 Nürnberg",Unklar,Unklar,Unklar,Regen,Mittel,Hoch,505,2,3,Nein,In Bearbeitung,Ausstehend
03.04.2025 04:04:54,B27 zwischen Stuttgart und Tübingen,100,144,44,E-J 7635,BMW,X1,SUV,Amina Wagner,22.03.1993,Weiblich,"Waldweg 88, 50667 Köln",Unklar,Unklar,Unklar,Klar,Nacht - Beleuchtung,Niedrig,177,2,1,Nein,Abgeschlossen,Mahnung verschickt
01.10.2025 04:05:33,"A9 km 321, Richtung München",100,165,65,HL-QK 739,Peugeot,3008,Transporter,Yasemin Demir,26.04.1981,Weiblich,"Bergstraße 166, 44135 Dortmund",Unklar,Unklar,Unklar,Nebel,Schlecht,Hoch,330,2,2,Nein,Abgeschlossen,Bezahlt
23.09.2025 08:49:28,"A2 km 198, Richtung Dortmund",80,120,40,B-HM 1994,Skoda,Octavia,SUV,Oliver Öztürk,13.01.1989,Männlich,"Kantstraße 122, 45127 Essen",Unklar,Unklar,Unklar,Schnee,Mittel,Hoch,135,1,,Nein,Abgeschlossen,Bezahlt
27.03.2025 03:12:52,"A1 km 245, Richtung Hamburg",30,63,33,K-J 6527,Audi,Q5,SUV,Natalia Klein,16.02.1955,Weiblich,"Leipziger Straße 155, 90402 Nürnberg",Unklar,Unklar,Unklar,Bewölkt,Nacht - Beleuchtung,Mittel,132,1,,Ja,Abgeschlossen,Bezahlt
23.06.2025 19:46:24,"A7 km 89, Richtung Hannover",120,143,23,HB-KY 6445,Ford,Fiesta,Kleinwagen,Merve Schulz,10.06.2001,Weiblich,"Schillerstraße 156, 30159 Hannover",Unklar,Unklar,Unklar,Bewölkt,Dämmerung,Sehr hoch,91,1,,Nein,Abgeschlossen,Bezahlt
14.02.2025 16:58:21,"A5 km 432, Richtung Basel",80,99,19,KI-DB 8235,Renault,Megane,Kleinwagen,Dmitri Becker,18.12.1966,Männlich,"Kantstraße 188, 40210 Düsseldorf",Unklar,Unklar,Unklar,Nebel,Mittel,Sehr hoch,69,0,,Ja,Einspruch läuft,Ausstehend
20.05.2025 15:11:47,"A81 km 123, Richtung Singen",100,161,61,F-HQ 8226,Opel,Grandland,Sportwagen,Selin Khalil,01.08.1988,Weiblich,"Kantstraße 199, 20095 Hamburg",Unklar,Unklar,Unklar,Bewölkt,Mittel,Mittel,329,2,2,Nein,In Bearbeitung,Ausstehend
22.11.2025 08:59:54,B17 Landsberg am Lech,80,96,16,HL-HZ 8913,Seat,Leon,Sportwagen,Ali Meyer,02.12.1963,Männlich,"Mühlenweg 53, 04103 Leipzig",Unklar,Unklar,Unklar,Nebel,Schlecht,Niedrig,65,0,,Nein,In Bearbeitung,Ausstehend
23.01.2025 15:09:37,B10 Stuttgart-Zuffenhausen,100,148,48,L-KV 794,Volkswagen,Tiguan,SUV,Ida Khalil,17.07.1949,Weiblich,"Lindenstraße 100, 50667 Köln",Unklar,Unklar,Unklar,Regen,Mittel,Niedrig,173,2,1,Nein,In Bearbeitung,Ausstehend
01.09.2025 07:34:27,"A7 km 89, Richtung Hannover",100,153,53,HB-D 9133,Ford,Mondeo,SUV,Katharina Romano,03.12.1971,Weiblich,"Parkstraße 98, 40210 Düsseldorf",Unklar,Unklar,Unklar,Leichter Regen,Gut,Hoch,237,2,1,Nein,Abgeschlossen,Bezahlt
27.10.2025 07:05:16,"A5 km 432, Richtung Basel",120,149,29,D-GQ 7871,Kia,Rio,Kombi,Clara Schneider,27.08.1982,Weiblich,"Bergstraße 171, 30159 Hannover",Unklar,Unklar,Unklar,Klar,Gut,Hoch,107,1,,Nein,Abgeschlossen,Bezahlt
02.11.2025 22:01:01,B17 Landsberg am Lech,50,82,32,HB-VN 5961,Mercedes-Benz,Sprinter,Transporter,Ben Çelik,04.11.1986,Männlich,"Sonnenallee 3, 90402 Nürnberg",Unklar,Unklar,Unklar,Bewölkt,Nacht - ohne Beleuchtung,Mittel,149,1,,Nein,Abgeschlossen,Bezahlt
25.03.2025 08:08:16,"A7 km 89, Richtung Hannover",120,196,76,N-OJ 9250,Audi,Q7,SUV,Ivan Becker,18.02.1973,Männlich,"Hauptstraße 83, 70173 Stuttgart",Unklar,Unklar,Unklar,Bewölkt,Mittel,Sehr hoch,621,2,3,Nein,In Bearbeitung,Ausstehend
01.08.2025 13:48:51,"A9 km 321, Richtung München",120,199,79,DD-W 1590,Kia,Rio,Kleinwagen,Ahmet Ivanov,06.03.1973,Männlich,"Poststraße 136, 20095 Hamburg",Unklar,Unklar,Unklar,Klar,Gut,Mittel,537,2,3,Nein,In Bearbeitung,Ausstehend
12.02.2025 23:00:55,B1 Ortsdurchfahrt Paderborn,80,128,48,MA-R 1483,Kia,Ceed,Kleinwagen,Sophie Fischer,01.06.1963,Weiblich,"Gartenweg 81, 04103 Leipzig",Unklar,Unklar,Unklar,Regen,Mittel,Niedrig,186,2,1,Nein,Abgeschlossen,Bezahlt
16.07.2025 00:57:33,"A2 km 198, Richtung Dortmund",50,61,11,N-L 856,Opel,Astra,Kombi,Elif Wagner,03.04.1999,Weiblich,"Sonnenallee 45, 80331 München",Unklar,Unklar,Unklar,Klar,Nacht - Beleuchtung,Hoch,42,0,,Nein,In Bearbeitung,Ausstehend
11.08.2025 05:05:07,"A3 km 112, Richtung Frankfurt",120,152,32,K-W 750,Peugeot,208,Sportwagen,Maria Mansour,10.07.1950,Weiblich,"Schulstraße 37, 45127 Essen",Unklar,Unklar,Unklar,Klar,Nacht - ohne Beleuchtung,Mittel,151,1,,Nein,In Bearbeitung,Ausstehend
19.08.2025 08:10:12,"A2 km 198, Richtung Dortmund",80,106,26,HL-ZK 7998,Mercedes-Benz,A-Klasse,Kombi,Merve Schwarz,27.07.1950,Weiblich,"Kirchstraße 152, 90402 Nürnberg",Unklar,Unklar,Unklar,Schnee,Mittel,Sehr hoch,100,1,,Nein,Abgeschlossen,Bezahlt
28.01.2025 01:57:17,"A5 km 432, Richtung Basel",80,95,15,MA-K 498,Skoda,Fabia,Limousine,Leon Kaya,19.09.1988,Männlich,"Leipziger Straße 125, 30159 Hannover",Unklar,Unklar,Unklar,Nebel,Mittel,Mittel,45,0,,Nein,In Bearbeitung,Ausstehend
19.05.2025 22:07:20,"A5 km 432, Richtung Basel",80,121,41,M-BD 8907,Kia,Rio,Sportwagen,Julia Schneider,17.11.1992,Weiblich,"Waldweg 94, 40210 Düsseldorf",Unklar,Unklar,Unklar,Bewölkt,Nacht - ohne Beleuchtung,Hoch,180,2,1,Nein,Abgeschlossen,Bezahlt
27.10.2025 17:32:24,"A81 km 123, Richtung Singen",120,171,51,DO-FR 867,Audi,Q5,SUV,Layla Demir,06.09.1959,Weiblich,"Karl-Marx-Straße 72, 01067 Dresden",Unklar,Unklar,Unklar,Nebel,Schlecht,Hoch,278,2,1,Nein,In Bearbeitung,Ausstehend
07.01.2026 04:40:45,"A4 km 178, Richtung Dresden",30,48,18,DO-I 9735,Ford,Fiesta,Kleinwagen,David Schwarz,09.08.1979,Männlich,"Gartenweg 148, 40210 Düsseldorf",Unklar,Unklar,Unklar,Nebel,Schlecht,Mittel,60,0,,Nein,In Bearbeitung,Ausstehend
03.01.2026 20:28:19,"A4 km 178, Richtung Dresden",120,176,56,M-AY 1965,Volkswagen,Touran,Kleinwagen,Tanja Hussein,19.12.1974,Weiblich,"Bahnhofstraße 101, 40210 Düsseldorf",Unklar,Unklar,Unklar,Schnee,Mittel,Hoch,216,2,1,Nein,Abgeschlossen,Bezahlt
27.05.2025 05:19:05,"A9 km 321, Richtung München",120,196,76,D-MI 4943,Volkswagen,Tiguan,SUV,Michael Hussein,06.06.1972,Männlich,"Bahnhofstraße 178, 30159 Hannover",Unklar,Unklar,Unklar,Leichter Regen,Nacht - ohne Beleuchtung,Hoch,483,2,3,Nein,Abgeschlossen,Bezahlt
