Ticket_ID,Timestamp,Submitter_Name,Submitter_Email,Submitter_Phone,Department,Location,Priority,Category,Issue_Title,Issue_Description,Technical_Details,Operating_System,Affected_Software,Hardware_Type,IP_Address,Assigned_Technician,Status,Time_to_First_Response_Hours,Resolution_Time_Hours,Escalated,Recurring_Issue,User_Satisfaction_Rating,Resolution_Notes
TKT-2024-0036,2024-01-23 16:53:21,Helga Richter,h.richter@stadtverwaltung.de,+49 30 9026 8234,Personalamt,Personalamt Steglitz,Medium,Email,Email rules not working after Outlook update,Outlook email rules stopped working after automatic update yesterday. All my carefully organized folder rules are gone. Inbox getting flooded. Rules still show in settings but not executing. This disrupts my entire workflow.,Outlook 2019 updated to build 16.0.16924.20150. Rules visible in Rules and Alerts dialog. All rules enabled. Manually running rules works. Automatic execution not triggering. Client-side rules. Mailbox size: 4.2GB. No error messages. Recent items folder showing all unorganized mail.,Windows 10 Pro,Outlook 2019,Lenovo ThinkPad T15,192.168.10.989,Sarah Klein,Closed,5.9,9.3,No,No,3,Known issue with Outlook update build 16.0.16924.20150. Rules processing disabled by bug. Applied hotfix update 16.0.16924.20152. Restarted Outlook. Rules now executing automatically. Manually ran rules on existing inbox items to organize. Microsoft KB article referenced for future issues.
TKT-2024-0037,2024-01-24 08:31:47,Rudolf Fischer,r.fischer@stadtverwaltung.de,+49 30 9026 8456,Ordnungsamt,Ordnungsamt Mitte,High,Software,Parking violations software not printing tickets,Handheld parking enforcement devices (PDA) not printing violation tickets. Error on device: 'Printer communication error'. Officers cannot issue tickets. Affects 6 devices across district. Started this morning. Tested printer paper - adequate supply.,Zebra QLn320 mobile printers. Connection: Bluetooth. Device OS: Android 11. Application: ParkControl v3.2. Bluetooth pairing shows connected. Printer status LED: solid green. Test print from printer settings works. Only app printing fails.,Android 11,ParkControl v3.2,Zebra TC52 Mobile Computer,10.40.2.0/24 subnet,Michael Koch,Closed,0.8,3.2,Yes,No,4,Application update pushed overnight with incorrect printer driver reference. Rolled back ParkControl app to v3.1 on all devices. Printing immediately functional. Test tickets printed successfully. Officers back on patrol. Update v3.2.1 with fix to be deployed after testing.
TKT-2024-0038,2024-01-24 10:57:14,Margarete Schulz,m.schulz2@stadtverwaltung.de,+49 30 9026 8678,Standesamt,Standesamt Charlottenburg,Medium,Hardware,Label printer printing smudged text,Dymo label printer producing smudged unreadable labels. Used for file folder labels in registry office. Text completely illegible. Cleaned print head per manual - no improvement. Tried new label roll - same issue.,Dymo LabelWriter 450 Turbo. USB connection. Driver version: 8.7.4. Print quality: 300 dpi. Test label from Dymo software also smudged. Printer used daily for 3 years. Label type: 30252 Address labels. Thermal printer (no ink/toner).,Windows 10 Pro,Dymo Label Software,Dell OptiPlex 5090,192.168.10.1012,Thomas Weber,Closed,6.4,28.3,No,No,3,Thermal print head worn out (end of life). Printer exceeds expected duty cycle. Ordered replacement LabelWriter 550 (newer model). Installed and configured. Test labels crisp and clear. Transferred label templates to new printer. Old printer decommissioned. User training provided on new model features.
TKT-2024-0039,2024-01-24 13:44:29,Ernst Wagner,e.wagner@stadtverwaltung.de,+49 30 9026 8890,Liegenschaftsamt,Liegenschaftsamt Pankow,Low,Software,AutoCAD drawing layers disappeared,Working on property survey drawing. All layers except base layer disappeared from layer manager. Hours of work potentially lost. File size still shows correct (13.5MB). Tried opening on colleague's computer - same issue. Last saved 30 minutes ago.,AutoCAD 2024. File format: DWG. File recovery attempted - no autosave newer than problem version. Layer properties manager shows only 'Layer 0'. Undo history exhausted. File backup from network drive: 2 days old. Could lose 2 days of detailed surveying work.,Windows 10 Pro,AutoCAD 2024,HP Z2 Tower G9 Workstation,192.168.10.1045,Sarah Klein,Closed,2.1,4.8,No,No,5,DWG file corruption (partial). Used AutoCAD Recovery Manager. Recovered 14 of 15 layers from backup file fragment. Merged recovered layers with current file. Only minor detail work lost (approximately 30 minutes). File saved with repair. Advised user to save more frequently and enable autosave every 10 minutes.
TKT-2024-0040,2024-01-24 15:29:53,Hildegard Becker,h.becker2@stadtverwaltung.de,+49 30 9026 9012,Wahlamt,Wahlamt Neukölln,Critical,Security,Suspicious login attempts on election system,Security alert email received: Multiple failed login attempts on election management system from unknown IP address. 47 attempts in last 2 hours. Very concerned given upcoming election. Need immediate security assessment. Have not clicked any suspicious links recently.,System: Wahl-Manager Pro. Failed login account: admin@wahlamt. Source IP: 203.0.113.45 (United States). Login attempts: 09:00-11:00. Account not locked (different usernames tried). Password policy: 8 characters minimum. 2FA not enabled on this legacy system. Firewall logs show connection attempts.,Windows 10 Pro,Wahl-Manager Pro v2.9,Dell OptiPlex 7080,192.168.10.1078,Michael Koch,Closed,0.3,2.7,Yes,No,4,Brute force attack detected. Immediately blocked source IP at firewall. Enabled account lockout policy (5 attempts). Forced password reset for all election system accounts to 16+ character complex passwords. Security audit initiated. 2FA implementation fast-tracked. Law enforcement notified. No breach detected.
TKT-2024-0041,2024-01-25 09:08:36,Ludwig Neumann,l.neumann@stadtverwaltung.de,+49 30 9026 9234,Schulverwaltung,Schulverwaltung Treptow,Medium,Software,Student database import failing,Attempting to import new student enrollment data from Excel. Import wizard fails with error 'Data type mismatch'. Imported successfully last month with same format. Contains 247 new student records. Import must complete before Monday registration.,Database: Access 2019. Import file: Excel 2019 (.xlsx). Error on column 'Geburtsdatum' (date of birth). Data format: DD.MM.YYYY. Import wizard expecting MM/DD/YYYY. Locale settings: German (Germany). Date format in Windows: DD.MM.YYYY. Excel regional settings: correct.,Windows 10 Pro,Microsoft Access 2019,HP EliteBook 840 G8,192.168.10.1109,Sarah Klein,Closed,3.7,5.6,No,Yes,4,Access import schema retained US date format from previous database template. Modified import specification to match German date format DD.MM.YYYY. Re-ran import - successful. All 247 records imported correctly. Dates verified. Saved import specification as template for future imports.
TKT-2024-0042,2024-01-25 11:42:18,Gerda Hoffmann,g.hoffmann2@stadtverwaltung.de,+49 30 9026 9456,Stadtarchiv,Stadtarchiv Mitte,Low,Hardware,CD/DVD drive not reading archive discs,Optical drive not reading archive CDs containing digitized historical documents. Drive opens and closes. Discs spin up. No data appears. Error: 'Please insert a disc'. Tried multiple discs known to be good. Drive worked last week.,HL-DT-ST DVDRAM GUD1N SATA drive. Media: CD-R and DVD-R. Discs readable on other computers. Drive letter: D:. Lens cleaning disc attempted - no improvement. Windows shows drive as working properly. No driver updates available.,Windows 10 Pro,Windows Explorer,Dell Precision 3650,192.168.10.1142,Thomas Weber,Closed,8.8,26.5,No,No,3,Optical drive laser failed (hardware failure). Replacement USB external DVD drive ordered and installed. Archive discs readable on new drive. Test read successful. Mapping drive letter D: to external drive for consistency. Internal drive to be replaced during next scheduled maintenance window if needed.
TKT-2024-0043,2024-01-25 14:18:47,Walter Schmidt,w.schmidt@stadtverwaltung.de,+49 30 9026 9678,Kämmerei,Kämmerei Nebenstelle,High,Network,Cannot connect to financial network shares,All network drives (F:, G:, H:) showing red X. Cannot access any financial documents or shared folders. Other colleagues in same office have access. Rebooted computer - no change. Need access for budget reconciliation meeting in 1 hour.,Computer can ping file server successfully. DNS resolution working. Other network resources (internet, email) accessible. Error when accessing shares: 'Windows cannot access \\fileserver02\finance'. Error code: 0x80070035. Network adapter: Intel I219-LM. Active Directory authentication successful.,Windows 10 Pro,Windows File Explorer,HP EliteBook 850 G7,192.168.10.1175,Michael Koch,Closed,0.9,2.4,No,No,5,Computer account in Active Directory lost secure channel. Reset computer account using PowerShell: Reset-ComputerMachinePassword. Rejoined domain. All network shares immediately accessible. Verified file access. User ready for meeting. Documented procedure for faster resolution if recurs.
TKT-2024-0044,2024-01-25 16:47:32,Irmgard Lange,i.lange@stadtverwaltung.de,+49 30 9026 9890,Gesundheitsamt,Gesundheitsamt Lichtenberg,Medium,Email,Cannot send email to external health organizations,Emails to external recipients (.de domains outside our organization) fail with bounce-back: 'Delivery has failed'. Internal emails work fine. Only external emails affected. Need to send health inspection reports to state health office urgently. Started this afternoon.,SMTP error: 550 5.7.1 Unable to relay. Exchange Server 2019. Email size: 2.4MB (below 10MB limit). No attachments with executable extensions. Recipient domain MX records verified functional. Other users can send external email successfully. Only affects this user account.,Windows 10 Pro,Outlook 2019,Dell OptiPlex 7090,192.168.10.1208,Sarah Klein,Closed,4.3,6.1,No,No,4,User account missing from 'External Email Send' security group after recent AD group restructuring. Added user to correct security group. Propagated group membership. External email sending immediately functional. Test email delivered successfully. Inspection reports sent. Reviewed group membership procedures with IT team.
TKT-2024-0045,2024-01-26 08:54:26,Heinrich Bauer,h.bauer@stadtverwaltung.de,+49 30 9026 0123,Feuerwehr,Feuerwehr-Wache Spandau,Critical,Hardware,Emergency dispatch screen completely black,Main dispatch screen went black during shift change. Computer running - can hear fans. Keyboard lights working. Monitor power light amber. No display whatsoever. This is primary emergency dispatch station. Backup station activated but need primary operational.,Dell P2722H 27-inch monitor. Connection: DisplayPort. Monitor OSD buttons non-responsive. Power cycled monitor - no change. Tried HDMI cable - no signal. Monitor worked perfectly 10 minutes ago. No power fluctuations reported. Critical infrastructure.,Windows 10 Pro,Dispatch Management System,HP Z2 SFF G9,192.168.30.15,Thomas Weber,Closed,0.2,1.3,Yes,No,5,Monitor complete failure. Replaced with spare from storage immediately. Dispatch station operational in 15 minutes. All emergency services resumed on primary station. Defective monitor tested - confirmed dead (power supply failure). New monitor ordered as spare replacement. Minimal impact on emergency operations.
TKT-2024-0046,2024-01-26 10:36:51,Ursula Koch,u.koch@stadtverwaltung.de,+49 30 9026 0345,Jugendamt,Jugendamt Friedrichshain,Medium,Software,Case management software showing SQL errors,Youth services case management system displaying error messages: 'SQL Exception: Transaction deadlock detected'. Error appears randomly when saving case notes. Sometimes save succeeds after retry. Very frustrating and time-consuming. Multiple case workers experiencing this.,Application: YouthCare Manager v5.6. Database: SQL Server 2019. Error frequency: 3-4 times per hour. Database server CPU: 45%. Memory: 67% used. Concurrent users: 67. Transaction isolation level: Serializable. Deadlock graphs available in SQL Server logs.,Windows 10 Pro,YouthCare Manager v5.6,Lenovo ThinkCentre M90t,192.168.10.1241,Sarah Klein,In Progress,2.5,NULL,No,Yes,NULL,Database deadlock issue caused by long-running transactions and lack of proper indexing. DBA analyzing deadlock graphs. Temporary mitigation: increased transaction timeout. Permanent fix requires application code optimization. Vendor contacted for patch. Estimated resolution: 5-7 business days.
TKT-2024-0047,2024-01-26 13:21:14,Berthold Meyer,b.meyer@stadtverwaltung.de,+49 30 9026 0567,Bauamt,Bauamt Kreuzberg,Low,Access,Building permit archive access denied,Trying to access historical building permit scans on archive server. Getting 'Access is denied' error. Need permits from 1995-2000 for property research. Have accessed this archive previously without issues. Last accessed 2 months ago.,Network path: \\archive-srv\building_permits\historical\1990s. NTFS permissions appear unchanged. User member of 'Building_Archive_Readers' group. Group membership confirmed in Active Directory. Can access other folders on same server. Only this specific folder affected.,Windows 10 Pro,Windows File Explorer,Dell OptiPlex 5090,192.168.10.1274,Michael Koch,Closed,7.6,9.8,No,No,3,Folder permissions accidentally modified during file server cleanup last week. 'Building_Archive_Readers' group removed from ACL. Restored correct NTFS permissions. Verified user can access historical folder. Test file open successful. Permission audit log review scheduled to prevent future accidental changes.
TKT-2024-0048,2024-01-26 15:08:29,Elfriede Fischer,e.fischer@stadtverwaltung.de,+49 30 9026 0789,Bibliothek,Stadtbibliothek Neukölln,Medium,Hardware,Barcode scanner continuously scanning,Checkout counter barcode scanner scanning repeatedly without trigger press. Continuous rapid beeping. Cannot scan patron cards or books. Unplugged and replugged - starts immediately scanning again when connected. Disrupting library operations.,Honeywell Voyager 1202g barcode scanner. USB connection. Scanner in continuous/presentation mode instead of trigger mode. Configuration: factory default. Beep volume: high. Scan rate: continuous. No physical trigger damage visible. Scanner 14 months old.,Windows 10 Pro,Library Management System,Dell OptiPlex 7080,192.168.10.1307,Thomas Weber,Closed,5.7,7.9,No,No,4,Scanner inadvertently set to presentation mode (for automatic scanning of items passed in front). Scanned configuration barcode to set manual trigger mode. Beeping stopped. Scanner now activates only when trigger pressed. Tested with books and patron cards - functioning correctly. Provided configuration barcode sheet for future reference.
